,string,valid
0,BPTVXPVXPTTVXVE,0
1,BPVXPVXPVXPTTVXPTTVSE,0
2,BNAFUCCAFUCCAFUADE,0
3,BNWWWWWVZUWWVZRE,0
4,BPTVPXVPXTVPXTTTTTTVPSE,1
5,BTXXTTVPXVPXVVE,1
6,BPTTTTTTVPXVPXVPXVVE,1
7,BTSXXTTTTTVPXTTTVPXVPSE,1
8,BCJJJJILHILHJILHILGE,0
9,BADFHILHJJJJJIKE,0
10,BTXXVPXTTVPXTTTTVPXVPXTTVVE,1
11,BTSXXVPXVPXTVPXTVPXVVE,1
12,BPTTTTVXPVXPTTTVSE,0
13,BTTTVXSSXPXSSSXPXXVE,0
14,BPTTVPXTTTTTVPXVPXVPXVPSE,1
15,BPTTTTTTTTTTTVPXTVPXTVPXVPXVPXVPSE,1
16,BTSSSSXXVPXVPXTVPXTTTVVE,1
17,BPSSSSSSSXXTTTVPSE,0
18,BTSSSSSXXTVPSE,1
19,BPTTTTTVPXTTTTVPXTTTVPSE,1
20,BMQUCAFUADE,0
21,BTSXXTTVPXVPXVPXTTTTVPXVPSE,1
22,BPTTTTTTTTTVPXTTTTTTTTVVE,1
23,BTSSSSXXTVPXTTTTTTTTVVE,1
24,BADDDDDFHIKE,0
25,BTSSSSSXXTTVPXTVVE,1
26,BNVZUWWVZUWWWWVYE,0
27,BTXXTVPXTTTTTTTTTVVE,1
28,BTSSSSXXTTVPXTVPXVPXVPSE,1
29,BPXPXSXPXSSSSXPXSXPSE,0
30,BPTPXVVVVVVTPSE,0
31,BNAFUCAFUAFUCAFUCAFUCCAFRE,0
32,BPTTTTTVPXTTTTVPXTVPXVVE,1
33,BTVXXPXSSSSXPXXPSE,0
34,BPTVPXTVPXTTTVPXTVPXTVVE,1
35,BMQUAFUCAFUCAFRE,0
36,BMOOOQUWWVZUWWWVZRE,0
37,BTTVPXTTVPXVPXTTVPXVVE,0
38,BPTVPXTVPXTTVPXVPXTVVE,1
39,BTXXVPXVPXVPXTVPXTTTTTVPSE,1
40,BTTVXSSXPXSSSSXVE,0
41,BADFHJILHJJILHIKE,0
42,BPTTVPXVPXTVPXTTVPXVPXTVPSE,1
43,BTTVXXPXXPXXPXXPXSSSXVE,0
44,BADDDDDFHJJJJILHJILHJJILHJILHILHIKE,0
45,BMOQUWVZUVYE,0
46,BPTTVXPTVXPVXPVXVE,0
47,BNVZUVZUWWWWVZUWWVZRE,0
48,BCJJJJILHILGE,0
49,BTXXTTTTVPXVPXVPXVPSE,1
50,BTSSSXPTTVXPTVXPTVSE,0
51,BTSSSSSSXXTTVPXTVPXVVE,1
52,BMOQUVZUVZUWVZRE,0
53,BTXXTTTTTTTTTVPXVPXTTTTVPXTTVVE,1
54,BQMMMMMMMMNRE,0
55,BTSXXVPXVPXVPXTVPXTVPXVPXTTTTTTVVE,1
56,BTSXXTTTVPXTTVPXVPXTVVE,1
57,BTSSSSXXTTTTTTVPXVVE,1
58,BTTVXSXPXXPXXPXSSSSSXPSE,0
59,BPSXPXSSSSSSXPXXVE,0
60,BPXXTTTVPXVPXTVPXVVE,0
61,BPTTTVPXTTTVPXTVPXVPXTTVPSE,1
62,BTSSSSXXTTTTTTTVPXTVPXVVE,1
63,BTSSSSSSSSSSXXTTTTVVE,1
64,BPVPXVPXTTTTVPXTTTTTVPXTVPSE,1
65,BTXXTTTVPXVPXTTTVPXTVVE,1
66,BTXPTTTTTVXPVSE,0
67,BTSSSSSXXTTTTTVPXTVPSE,1
68,BTTVPXVPXVPXTVPSE,0
69,BTSSXXTVPXTVPXTTVPXVPXTVPSE,1
70,BPTTVPXVPXVPXTTTVPXTVVE,1
71,BMQUVZUVZUWWWVZUWVZUWWWWVZRE,0
72,BTXXTVPXVPXVPXTTTVPXTVPXTTVVE,1
73,BTTVXSSSSSSSSXPXSSSSSXPXSXPSE,0
74,BMQUVZUVZUWWWWVZRE,0
75,BPSSSSSXPXXPXSSSSSSXPSE,0
76,BPVPXVPXVPXTVPXVPXVVE,1
77,BCILHJILHILHJJJILGE,0
78,BADDFHJILHJILGE,0
79,BTXXVPXTTVPXVPSE,1
80,BMOOQUCCAFUAFUCAFRE,0
81,BADFHJJILHJJJIKE,0
82,BTSSXXTTVPXTVPXVPSE,1
83,BTXXVPXTTTVPXTVPXTTTTVVE,1
84,BNAFUAFUAFUADE,0
85,BNVZUVZUWVZUWWWWVZUWWVZUVYE,0
86,BPTTTVPXVPXVPXVPXVPXVPXVPSE,1
87,BTSXVVVVVTPXTPSE,0
88,BTVXSXPXSSSSSSSSXPSE,0
89,BPTTTTTTTTTVPXTTTTTTVPXTTTVVE,1
90,BPTTVPXVPXTTTVPXVPXTTVPSE,1
91,BADDDDDFHILHIKE,0
92,BPTVPXTTVPXTVPXTTTTVPSE,1
93,BPTTVXPVXPTTTTTTTVXVE,0
94,BTSSXXTVPXTVPXTVPXTVPXVPXVVE,1
95,BTSXXTTTVPXTVPXVPXVPXTTVPXVVE,1
96,BMOOOOQUAFUCCAFUAFRE,0
97,BPVPXTTTTTTTTVPXVPXTTTVPSE,1
98,BTSXXTTTTTTTVPXTTVPXTVPXVVE,1
99,BPTTTTVPXTTTTVPXVPXTTTTTVVE,1
100,BTXXTTTTTTTTTTTTTVVE,1
101,BTSXXTTTTVPXTTTVPSE,1
102,BTSSSSSXXTTTVPXTVPXVPSE,1
103,BTXPTTVXPTVXPVSE,0
104,BTSSSSSSSSSSXXTTTVPSE,1
105,BPTVPXTTTTTVPXTTVPXTVVE,1
106,BPVPXVPXTTVPXVPXTTVPXTTTTTVVE,1
107,BTSSXXTVPXTTVPXTTTTTTTTTTTVPSE,1
108,BPTTVPXTTTTTTVPXTTTVPXVPSE,1
109,BPTTVPXTVPXTTTTVPXVPSE,1
110,BTSSSSSSSSXXTTVPSE,1
111,BTTVXXPXSSSXPXSXPSE,0
112,BPVXPTTVXPTTTTTTVXVE,0
113,BPTTTTTVPXTTVPXTVVE,1
114,BMOOQUWWVZUWWWWWVZRE,0
115,BTXXTTTVPXTVPXTVPXTTTVPXVVE,1
116,BTSXXTTVPXTTVPXVPXVVE,1
117,BADFHJJILHILHJJIKE,0
118,BMOOOOOQUWVZUWWVZUWVYE,0
119,BPVPXTVPXTTTVPXTTVPXVVE,1
120,BTVXSSSSSSSSSSSSXVE,0
121,BNWWVZUWVYE,0
122,BNWWWWWWVZUWWWWWVYE,0
123,BTTTTTTVPXTTVPXTTVVE,0
124,BTSSSXXTVPXTTVPXTVPXTVVE,1
125,BMOOOOOOOQRE,0
126,BPTTTTTTTTTTTTTTTVPXTTVPXTTVVE,1
127,BCJJILHILHJJILHJJIKE,0
128,BOCCCCCCCCAFUCCCCCADE,0
129,BTSXXTTTTTTVPXTTVPXTTTVPSE,1
130,BNVZUVZUVZUVZUWVZRE,0
131,BPTTTTTTTVPXTTTVVE,1
132,BTSSSXXTVPXTTVPXTTTTTTTTTVPXVPXTTTVPSE,1
133,BMOOOOOOOOQUCADE,0
134,BTSSXXVPXTTVPXTVPXTTTVVE,1
135,BOCAFUAFUCCADE,0
136,BTSSSSSSXXVPXTTTVVE,1
137,BTTVXXPXSSSSSXVE,0
138,BTSSXXTTTTTTTVPXTVPSE,1
139,BPTTTTTVPXVPXVPXTTTTTTVVE,1
140,BPVPXTVPXTTTTTVPXTVPXVPXTVVE,1
141,BNCCAFUCAFUAFUCCADE,0
142,BTXXVPXVPXVPXVPSE,1
143,BPVTPXVVVVTPXVTPXTPSE,0
144,BPTVPXTTTTTTTVPXTVVE,1
145,BPTVPXVPXVPXTVPXVVE,1
146,BPVPXVPXVPXTVPXVVE,1
147,BTTTVXSSSSSSXPXSSXPXSXVE,0
148,BTSXXVPXTVPXVPXTTTTTTVPXTTVPXTTVPXTTVVE,1
149,BTSSSSXXVPXVPXTVPXTVVE,1
150,BNVZUVZUVZUWWWVZRE,0
151,BOCCCAFUAFUCCADE,0
152,BTSXPTTTVXPTTVXVE,0
153,BTXXVPXVPXTTTTTTTVPXTVPSE,1
154,BADDDDDDFHILHIKE,0
155,BPTTTTTVXPTVXPVXVE,0
156,BTTTTTVPXVPXTVVE,0
157,BPTTVPXTTTTTVPXVPXVVE,1
158,BTXXTTVPXVPXTVPXTVVE,1
159,BTXXTTVPXTTVPXTTTTVVE,1
160,BNCCCCAFUCCCAFUCCADE,0
161,BTSSSXXTTTTTTTTTTVPXTTVPSE,1
162,BCJILHILHJILGE,0
163,BTSSXXVPXVPXVPXTTTTTTVPSE,1
164,BQMMMMNUCCAFUCADE,0
165,BPTTTTTTVPXVPXVPXTVPSE,1
166,BPXXTVPXTTTTTTTTVPXVVE,0
167,BPTVPXVPXVPXTTTVPXVPXTTTVVE,1
168,BTSSXXTVPXVPXVPXTTTTVVE,1
169,BPTVXPTVXPTTTTTTTTVXPTTVXPVSE,0
170,BTSSSSSXXTTTTTTVPXTTTVPSE,1
171,BQMMNUAFUCAFUADE,0
172,BTSSSSSXXVPXTTVPXVPXTVPXVVE,1
173,BMOQUCCCAFUAFUCADE,0
174,BCJJJJJJJJJILHJJILGE,0
175,BTSSSSXXTTTVPXTTTTVPXTVVE,1
176,BCJILHILHILHJIKE,0
177,BPTTVPXTTVPXVPXTTTVPXTVPXVPXVVE,1
178,BMOQUVZUWVZUWVZRE,0
179,BPVPXVPXTTTTTVPXVPSE,1
180,BTXXTTVPXTTTVPXTTTVPXTTTVPXVVE,1
181,BTSSXXTTTTTTVPXTTTVPXVVE,1
182,BTXXVPXTTVPXTVPXVPXTTTVVE,1
183,BTSXXVPXVPXTTTTTTTVPXVPSE,1
184,BTSSSSSXXTTTVPXTVPXTTTVPSE,1
185,BADDDDDDDDDDFGE,0
186,BPVXPVXPTTTTTTTTVXVE,0
187,BPTVPXTTVPXTTTTTTTTTVVE,1
188,BTXXTVPXVPXTTTTVPXVVE,1
189,BTTTTVPXTTVPXTTTVVE,0
190,BPTVPXVPXTVPXVPXTTVVE,1
191,BPTVPXTTVPXVPXTTTVPSE,1
192,BTTVXSSSSSSSXPXSXPXSSSXVE,0
193,BTTTTTTTVPXTTVVE,0
194,BADDDFHJJILHJJJJILHILGE,0
195,BPSSSSSSSXXVPXTVVE,0
196,BCJJJILHJILHILHJJIKE,0
197,BOCCCCCCCCCAFUCAFUADE,0
198,BPSSXPXSSXPXSSXVE,0
199,BTXXTVPXTTVPXTTVPXTVPSE,1
200,BOAFUCCCAFUAFUCAFRE,0
201,BTXXVPXVPXTTVPXVPXTVPXTVVE,1
202,BPVPXTTVPXTTTTTTTVPXTTVPSE,1
203,BPSXPXSXPXSSSSSXVE,0
204,BPTTTTTVPXVPXTTVPXVPXVVE,1
205,BPSSXXTTTVPXVPXTTVVE,0
206,BPSSSSSXXTTVVE,0
207,BPTTVPXVPXTVPXTTTTVPXTTTTTVPSE,1
