mode,prune,epoch,train_loss,train_acc,test_loss,test_acc,time
lstm,0,1,152.4611984733492,0.8930666666666667,35.15270641632378,0.93024,46.71146557000003
lstm,0,2,24.45157167490106,0.9866133333333333,0.2535399705229793,0.99952,45.65273164600001
lstm,0,3,0.4780605563282734,0.9995733333333333,0.1617087334379903,0.99968,44.877793828999984
lstm,0,4,0.860572465819132,0.9995733333333333,0.053773758561874274,1.0,44.540007487000025
lstm,0,5,0.0699826600648521,1.0,0.012355607748759212,1.0,44.40678601099995
lstm,0,6,0.021812431514263153,1.0,0.005923383683693828,1.0,44.22054446899995
lstm,0,7,0.017153773953396012,1.0,0.004289157688617706,1.0,44.32249734599998
lstm,0,8,0.008566315472307906,1.0,0.002606727182865143,1.0,44.103281613000036
lstm,0,9,0.005587102969457192,1.0,0.001691746711912856,1.0,44.24461571899997
lstm,0,10,0.003811645507994399,1.0,0.0011519193649291992,1.0,44.043375107999964
lstm,0,11,0.0027141615748860204,1.0,0.0008402436972119176,1.0,44.043518150999944
lstm,0,12,0.0019331311186761013,1.0,0.0005439251660845912,1.0,43.54762975699998
lstm,0,13,0.0013771971066489641,1.0,0.0003914147615660113,1.0,43.46711204500002
lstm,0,14,0.0009900907675728376,1.0,0.00027454197402221325,1.0,45.25623539500009
lstm,0,15,0.0007277727127075195,1.0,0.00022255629301071167,1.0,45.474598033999996
lstm,0,16,0.0004963636398542803,1.0,0.00015971064567565918,1.0,45.71138005
lstm,0,17,0.00038808584213256836,1.0,0.0001064985990524292,1.0,45.53700903699996
lstm,0,18,0.00029584765434265137,1.0,0.00011224299669265747,1.0,45.47962448899989
lstm,0,19,0.0002053856849784097,1.0,5.7071447372436523e-05,1.0,45.52612915199984
lstm,0,20,0.00011570751667022705,1.0,3.877282143349703e-06,1.0,45.24020173400004
lstm,0,21,6.854534149169922e-06,1.0,3.6954879760742188e-06,1.0,45.543939991000116
lstm,0,22,8.463859558105469e-06,1.0,2.726912498474121e-06,1.0,44.17704272300011
lstm,0,23,4.723668098449707e-06,1.0,2.1010637283325195e-06,1.0,44.10582245399996
lstm,0,24,3.5762786865234375e-06,1.0,1.1771917343139648e-06,1.0,43.70208465900009
lstm,0,25,2.0265579223632812e-06,1.0,8.046627044677734e-07,1.0,43.806821404000175
lstm,0,26,2.905726432800293e-06,1.0,5.811452865600586e-07,1.0,43.8013425659999
lstm,0,27,7.301568984985352e-07,1.0,9.506940870096514e-07,1.0,43.643665177
lstm,0,28,9.37151593703311,0.9975466666666667,0.662197592901066,0.99968,43.90227730499987
lstm,0,29,4.239265188632999,0.99872,0.05338716879487038,1.0,43.52975151600003
lstm,0,30,0.06987952602503356,1.0,0.018181845545768738,1.0,43.501735607
lstm,0,31,0.9532210943580139,0.99984,0.02447104677412426,1.0,43.603759081000135
lstm,0,32,0.034498259923566366,1.0,0.007094216347468318,1.0,43.34612784899991
lstm,0,33,0.015621841450411011,1.0,0.004024451971417875,1.0,43.49647647400002
lstm,0,34,0.009663182993790542,1.0,0.002537865936574235,1.0,43.590649742000096
lstm,0,35,0.006247698267543456,1.0,0.003718925267094164,1.0,43.78368198500016
lstm,0,36,0.006002921611070633,1.0,0.0012200653554828023,1.0,43.60871149299987
lstm,0,37,0.0029098987579345703,1.0,0.0008483633400828694,1.0,43.51171347699983
lstm,0,38,0.0020563463369853707,1.0,0.0006232038140296936,1.0,43.793540999000015
lstm,0,39,0.0014001727104187012,1.0,0.0003944426774751264,1.0,43.61690953700008
lstm,0,40,0.0020599581300757563,1.0,0.0002508193254016078,1.0,43.50125869000021
lstm,0,41,0.0007088780403137207,1.0,0.0002370655536196864,1.0,43.47527401599973
lstm,0,42,0.0004789297779552726,1.0,0.00014603435994331448,1.0,44.174597235999954
lstm,0,43,0.00041588395833969116,1.0,9.544193744659424e-05,1.0,43.59914387700019
lstm,0,44,0.000281602144241333,1.0,9.94950532913208e-05,1.0,43.95117909600003
lstm,0,45,0.00017700890700211858,1.0,5.133152008340858e-05,1.0,43.82863975700002
lstm,0,46,0.00014753838379988338,1.0,4.954338074014686e-05,1.0,43.6554526609998
lstm,0,47,5.704164505004883e-05,1.0,3.8743019104003906e-07,1.0,44.117897627000275
lstm,0,48,8.195638656616211e-07,1.0,1.0281801223754883e-06,1.0,43.68910874199992
lstm,0,49,4.023313522338867e-07,1.0,1.1026859283447266e-06,1.0,44.4493253630003
lstm,0,50,4.3213367462158203e-07,1.0,3.725290298461914e-07,1.0,44.16038934299968
lstm_prune,10,0,0.0,0.0,1.341104507446289e-07,1.0,4.187697043999833
lstm_prune,10,1,0.0,1.0,0.0,1.0,44.34882765400016
lstm_prune,10,2,3.8743019104003906e-07,1.0,0.0,1.0,44.1930269049999
lstm_prune,10,3,0.0,1.0,0.0,1.0,44.270689347999905
lstm_prune,10,4,0.0,1.0,0.0,1.0,44.157931264000126
lstm_prune,10,5,0.0,1.0,0.0,1.0,43.948022512999614
lstm_prune,10,6,0.0,1.0,0.0,1.0,44.84344272100043
lstm_prune,10,7,0.0,1.0,0.0,1.0,44.10616888699997
lstm_prune,10,8,0.0,1.0,0.0,1.0,44.27500276799992
lstm_prune,10,9,0.0,1.0,0.0,1.0,44.29058424499999
lstm_prune,10,10,0.0,1.0,0.0,1.0,44.46908478799969
lstm_prune,20,0,0.0,0.0,2.384185791015625e-07,1.0,4.173023476000253
lstm_prune,20,1,2.9802322387695312e-08,1.0,0.0,1.0,44.380137790999925
lstm_prune,20,2,1.4901161193847656e-08,1.0,0.0,1.0,44.38390680800012
lstm_prune,20,3,0.0,1.0,0.0,1.0,45.20337117600002
lstm_prune,20,4,0.0,1.0,0.0,1.0,44.73911962200009
lstm_prune,20,5,0.0,1.0,0.0,1.0,44.80483849300026
lstm_prune,20,6,0.0,1.0,0.0,1.0,44.638623178000216
lstm_prune,20,7,2.9802322387695312e-08,1.0,0.0,1.0,44.67864411599976
lstm_prune,20,8,0.0,1.0,0.0,1.0,44.4383500910003
lstm_prune,20,9,0.0,1.0,0.0,1.0,44.92662048200009
lstm_prune,20,10,0.0,1.0,0.0,1.0,45.301304144999904
lstm_prune,30,0,0.0,0.0,5.960464477539062e-07,1.0,4.318009191999863
lstm_prune,30,1,1.4901161193847656e-08,1.0,0.0,1.0,44.90013056200041
lstm_prune,30,2,1.341104507446289e-07,1.0,0.0,1.0,45.12594292199992
lstm_prune,30,3,0.0,1.0,4.470348358154297e-08,1.0,44.990516058999674
lstm_prune,30,4,1.4901161193847656e-08,1.0,0.0,1.0,45.27875622800002
lstm_prune,30,5,4.470348358154297e-08,1.0,0.0,1.0,44.920771610999964
lstm_prune,30,6,1.4901161193847656e-08,1.0,0.0,1.0,45.295057904999794
lstm_prune,30,7,0.0,1.0,0.0,1.0,45.36408254100024
lstm_prune,30,8,0.0,1.0,0.0,1.0,44.882039650000024
lstm_prune,30,9,0.0,1.0,0.0,1.0,44.68523339700005
lstm_prune,30,10,0.0,1.0,0.0,1.0,44.73144673300021
lstm_prune,40,0,0.0,0.0,2.086162567138672e-07,1.0,4.124109055999725
lstm_prune,40,1,1.9371509552001953e-07,1.0,8.940696716308594e-08,1.0,44.73131435200003
lstm_prune,40,2,0.0,1.0,0.0,1.0,44.62458981199961
lstm_prune,40,3,0.0,1.0,0.0,1.0,44.77833105799982
lstm_prune,40,4,0.0,1.0,0.0,1.0,44.77543262099971
lstm_prune,40,5,0.0,1.0,0.0,1.0,44.96980344600024
lstm_prune,40,6,0.0,1.0,0.0,1.0,45.02563245900001
lstm_prune,40,7,0.0,1.0,0.0,1.0,45.07225114999983
lstm_prune,40,8,4.470348358154297e-08,1.0,0.0,1.0,45.083319946999836
lstm_prune,40,9,0.0,1.0,0.0,1.0,44.80739453800015
lstm_prune,40,10,0.0,1.0,0.0,1.0,45.28179300700049
lstm_prune,50,0,0.0,0.0,4.500150680541992e-06,1.0,4.277354771999853
lstm_prune,50,1,5.960464477539063e-08,1.0,0.0,1.0,44.45409247799944
lstm_prune,50,2,0.0,1.0,0.0,1.0,44.387323443999776
lstm_prune,50,3,0.0,1.0,0.0,1.0,44.19542155699946
lstm_prune,50,4,1.4901161193847656e-08,1.0,0.0,1.0,44.09439041099995
lstm_prune,50,5,0.0,1.0,1.4901161193847656e-08,1.0,44.08968688099958
lstm_prune,50,6,0.0,1.0,0.0,1.0,44.38187832499989
lstm_prune,50,7,1.4901161193847656e-08,1.0,0.0,1.0,44.440296880999995
lstm_prune,50,8,0.0,1.0,0.0,1.0,44.21002025800044
