mode,graph,graph_nr,layers,nodes,edges,source_nodes,sink_nodes,diameter,density,average_shortest_path_length,eccentricity_mean,eccentricity_var,eccentricity_std,degree_mean,degree_var,degree_std,closeness_mean,closeness_var,closeness_std,nodes_betweenness_mean,nodes_betweenness_var,nodes_betweenness_std,edge_betweenness_mean,edge_betweenness_var,edge_betweenness_std,test_acc,test_loss,time
GRU,barabasi_albert,0,6,27,50,2,2,4,0.07122507122507123,2.259259259259259,3.185185185185185,0.31054131054131057,0.557262335477027,0.14245014245014245,0.014202869232455034,0.11917579130198815,0.452053900328201,0.005398640822140527,0.07347544366753105,0.05037037037037037,0.010442796032474253,0.10218999966960687,0.04518518518518519,0.0004352482092361867,0.020862603127035386,0.91008,10.62764087319374,2084.539935689885
GRU,barabasi_albert,1,8,22,40,2,4,4,0.08658008658008658,2.272727272727273,3.4545454545454546,0.2597402597402597,0.5096471914376255,0.17316017316017315,0.011131725417439701,0.10550699226799948,0.4487913019110726,0.004559047928737037,0.06752072221723518,0.06363636363636364,0.010782154936690084,0.10383715585805538,0.056818181818181816,0.0010881246379081872,0.032986734271646036,0.89552,12.372785151004791,2649.616474652663
GRU,barabasi_albert,2,13,41,148,4,1,4,0.09024390243902439,2.021951219512195,3,0.1,0.31622776601683794,0.1804878048780488,0.007859756097560976,0.08865526548130673,0.4997334568262887,0.0028217861729958253,0.05312048731888503,0.026203877423389615,0.000974965358919172,0.031224435285832984,0.013661832564271588,1.674283744375052e-05,0.004091801246853337,0.99264,1.2352972370572388,6557.336932558101
GRU,barabasi_albert,3,4,12,11,1,5,4,0.08333333333333333,2.5303030303030303,3.4166666666666665,0.446969696969697,0.6685579234215215,0.16666666666666669,0.01627848735286752,0.127587175503134,0.41245104514196723,0.009517770485223032,0.09755906152286947,0.15303030303030302,0.07107187578261957,0.26659309027546,0.2300275482093664,0.01344436096502212,0.11594982089258318,0.86592,15.71536086499691,611.810967516154
GRU,barabasi_albert,4,7,21,38,2,2,4,0.09047619047619047,2.080952380952381,3.142857142857143,0.2285714285714286,0.4780914437337575,0.18095238095238098,0.02036904761904762,0.14272017243209742,0.49146440694580085,0.006765936994083914,0.08225531590167236,0.056892230576441105,0.01592846477487579,0.12620802183251184,0.05476190476190477,0.0006875779691255882,0.026221707974988743,0.888,13.052766650915146,2334.879101968836
GRU,barabasi_albert,5,14,48,176,4,3,4,0.07801418439716312,2.0824468085106385,3.0208333333333335,0.14849290780141844,0.38534777513490126,0.15602836879432624,0.00726878116281235,0.08525714728286626,0.48589111932261947,0.0030784831168788247,0.05548407985069974,0.02353145235892692,0.000904391975871101,0.030073110512068766,0.01183208413926499,1.324962411223371e-05,0.0036400033121185083,0.9488,6.342376623302698,8186.137320016045
GRU,barabasi_albert,6,11,27,50,2,1,4,0.07122507122507123,2.3732193732193734,3.6666666666666665,0.23076923076923078,0.4803844614152614,0.14245014245014245,0.006692627994403143,0.08180848363344197,0.42785084139114354,0.002980534672743086,0.05459427325959277,0.054928774928774925,0.003985889450822388,0.06313390096313064,0.04746438746438746,0.0001886251415123321,0.01373408684668668,0.94224,7.811991959810257,3186.399646730628
GRU,barabasi_albert,7,11,41,148,4,2,3,0.09024390243902439,2.015853658536585,2.975609756097561,0.024390243902439022,0.15617376188860604,0.1804878048780488,0.009047256097560977,0.09511706522786001,0.5014034303439727,0.002885952393058467,0.05372106098224855,0.026047529706066292,0.000983702909883267,0.03136403848172724,0.0136206328279499,1.607558860087199e-05,0.00400943744194519,0.99376,1.5971762579865754,5220.0116923931055
GRU,barabasi_albert,8,4,18,17,1,2,6,0.05555555555555555,2.8627450980392157,4.555555555555555,0.6143790849673202,0.7838233761296739,0.1111111111111111,0.010538932989574144,0.10265930542125319,0.36605120578300654,0.0074079212820395875,0.08606928187245196,0.11642156862745098,0.04937951607978831,0.22221502217399325,0.16839677047289506,0.008653345998145509,0.09302336264694751,0.94384,8.53866546601057,620.7506757932715
GRU,barabasi_albert,9,7,20,36,2,2,4,0.09473684210526316,2.1526315789473682,3.2,0.27368421052631575,0.5231483637805969,0.1894736842105263,0.015279195217961802,0.1236090418131368,0.4748350870011769,0.006014328721527597,0.0775521032695284,0.06403508771929824,0.013613784998273065,0.1166781256203281,0.059795321637426894,0.0007142947280481905,0.0267262928227652,0.80432,23.38447892665863,2048.3501768140122
