feature,SVM,BayesianRidge,RandomForestRegressor,AdaBoostRegressor
layers,0.0,-0.010845898637699303,0.010964878325627819,0.03711531774212179
nodes,0.0,0.05655559722209147,0.015028659484282364,0.0029889420513177912
edges,0.0,-0.013295979811711156,0.012002977031694818,0.005982152532360396
source_nodes,0.0,0.09188028361351493,0.6529420958387738,0.30096785413807553
sink_nodes,0.0,-0.0003604630247404641,0.011260492128856148,0.011338951322600826
diameter,0.0,0.0022540469957648135,0.0019108193830177406,0.0018228064474309913
density,0.0,0.010006151163803323,0.011637526385844942,0.02020498084122578
average_shortest_path_length,0.0,0.00882699577178292,0.01872691697021371,0.017027128002860614
eccentricity_mean,0.0,0.040899278438241427,0.011941039040198274,0.013585845614689344
eccentricity_var,0.0,0.0003388769640765843,0.021458766944654102,0.0160909423463003
eccentricity_std,0.0,-0.028626047048781078,0.016778824691915366,0.060321860749747276
degree_mean,0.0,0.0100061511638041,0.01116288194888255,0.0169348453853326
degree_var,0.0,0.014947482738434492,0.015313698415414197,0.02221236494299542
degree_std,0.0,0.021773726837170604,0.014532030417348702,0.02120180356773422
closeness_mean,0.0,-0.01585939266164843,0.012992155610820627,0.022882622332159284
closeness_var,0.0,-0.01576544842232852,0.010517059503138628,0.06395563613439752
closeness_std,0.0,0.01913083014347694,0.013312479529165791,0.0593019889715423
nodes_betweenness_mean,0.0,0.02352197853947724,0.05284933236690508,0.1312278732518543
nodes_betweenness_var,0.0,-0.029400676984785212,0.009491992019432818,0.02426483420622468
nodes_betweenness_std,0.0,-0.04972944190750761,0.01712148750574291,0.013515086030809224
edge_betweenness_mean,0.0,0.0016326390463666796,0.02947416707056703,0.07380787893327061
edge_betweenness_var,0.0,0.021486349886432943,0.01492716205555678,0.03565854494315453
edge_betweenness_std,0.0,0.0020604040846786686,0.013652557331945486,0.02758973951179471
