feature,SVM,BayesianRidge,RandomForestRegressor,AdaBoostRegressor
layers,0.09107363644004707,-0.007381708466281889,0.038333718182211866,0.03339513384797401
nodes,0.03665380979936389,0.09815104983309864,0.021833840976216056,0.0231599950031581
edges,0.028203448891231962,0.057744439391631985,0.009131078588783764,0.002724491257242747
source_nodes,0.47755177127853354,0.353920955130459,0.09051564197146436,0.10558987710194055
sink_nodes,0.35266257092801523,0.2999116934402859,0.09764686728716356,0.08159510215402258
diameter,-0.04263280096963862,0.006996965345597905,0.002506940827533412,0.0
density,0.038317797069073345,0.01149374470483816,0.03257588051749229,0.03718732909042605
average_shortest_path_length,0.09334134379477832,-0.005598955870591338,0.029568383834420627,0.02747440761275736
eccentricity_mean,-0.0035003243343782464,-0.04219786088427946,0.03563137232876388,0.08575172073719696
eccentricity_var,-0.16404139845308652,-0.05959848597977113,0.06257838590510037,0.048302168474613966
eccentricity_std,0.06039474392078725,0.030113994787516196,0.06085327088815124,0.03402242731487544
degree_mean,0.03831779706907534,0.011493744704837328,0.027757302386422312,0.05439898605005457
degree_var,0.038936500488587406,0.03213012839993701,0.03181211729157854,0.05925453266739399
degree_std,0.07918527276183468,0.047102056401450265,0.026009282763779017,0.033360315474188475
closeness_mean,0.07854204851216173,0.025763983363865095,0.046950587648998274,0.014720844075466005
closeness_var,0.013385466607558072,0.027499826441165665,0.06431751669165639,0.03690810892596085
closeness_std,0.1544140011804862,0.06047134339654936,0.06095773533071477,0.02967955858633832
nodes_betweenness_mean,-0.07351275942612512,0.0017640503427553966,0.05000226653115531,0.07429689435127905
nodes_betweenness_var,-0.0941859533326802,-0.040193370613936796,0.06112151571035082,0.05341398281073706
nodes_betweenness_std,-0.04153616351410783,-0.031112094037812454,0.06687183034400694,0.04794026138588511
edge_betweenness_mean,-0.021338298459158134,-0.0059161187225844625,0.041611256906148565,0.052402989606460774
edge_betweenness_var,0.036402189241148686,-0.0007812508549360775,0.01884393844872962,0.01709571618555229
edge_betweenness_std,0.03777758109794993,-0.02054853061570805,0.022569268639157734,0.04732515728647567
