feature,SVM,BayesianRidge,RandomForestRegressor,AdaBoostRegressor
layers,-0.11571497674317399,-0.09493604788611437,0.06856850292990602,0.11247448912940879
nodes,0.108862842530705,0.09127175804632182,0.01155837837802763,0.026428768603010275
edges,0.03699676351224254,0.05634928793738936,0.015633936704497788,0.005134489544826564
source_nodes,0.09471102654417465,0.0570583485960033,0.049516136930818765,0.0443221190339361
sink_nodes,0.11596208574689038,0.10075732760926834,0.01997570040196101,0.06849681052243589
diameter,0.02852938130045851,0.03151160158861044,0.0015696864693714565,0.00027322431619028275
density,0.036546554040146395,0.029448220354756638,0.027730717017831575,0.044133976473017145
average_shortest_path_length,-0.017245998999932774,0.033636040332917505,0.02765933940396166,0.01868657321910039
eccentricity_mean,0.18026138990990254,0.06648764440416827,0.02996769340572213,0.01642692285657173
eccentricity_var,-0.04010492501930053,0.020063766966812613,0.023152413399235156,0.047247951188733074
eccentricity_std,-0.00975754833464021,0.007675174046693378,0.03195267509330701,0.03230880718934177
degree_mean,0.03654655404014684,0.029448220354757138,0.021620269925161154,0.02586780967445886
degree_var,0.12214403982973887,0.03798759984937772,0.0330164327510661,0.031229024654084482
degree_std,0.12828578773946742,0.045027876731510375,0.03233405974560939,0.0668176166836229
closeness_mean,-0.08273898739380936,-0.030374149779580972,0.04849070859324987,0.03081688272247241
closeness_var,-0.10697731874820249,-0.05344940651372254,0.14990431291615838,0.08506412732730093
closeness_std,-0.05054494768329998,-0.034980861429467436,0.15929334830661876,0.09368058784739715
nodes_betweenness_mean,0.1155778624396403,0.039512862640582846,0.038526809312193225,0.061751336961753174
nodes_betweenness_var,-0.13832846337117677,-0.10447983175750863,0.03683091009741959,0.026568788848321923
nodes_betweenness_std,-0.24156148924187137,-0.1250516666547199,0.035307043920445515,0.03386660011986089
edge_betweenness_mean,0.015857733825619502,0.011716173852095335,0.03216657456457657,0.01588606399941486
edge_betweenness_var,0.03405810504412021,-0.017682816288104752,0.052423015202081834,0.05832983551901356
edge_betweenness_std,-0.015556877296352856,-0.04231629876130705,0.05280133453077937,0.05418719356572687
