string,valid
BPTVPXTTVVE,1
BPTTTTVPXTVPSE,1
BTSXXTTTTVVE,1
BPVPXTTVPXTTTTTTTTTTVPSE,1
BPVPXTVPXTTVVE,1
BPVPXTVPXVPSE,1
BTSSSXXVPXTTVVE,1
BPTTVPXVPXVPXTTTVVE,1
BTSSXXTTVVE,1
BTXXVPXTVVE,1
BTSXXTVPXVVE,1
BPTVPXTTTTVVE,1
BPVPXTVPXVVE,1
BPTTTTTVPSE,1
BTSSXXVPXTVPSE,1
BTSXXTTTTTTTTVVE,1
BTXXTVPXTTTTTTTTTVPSE,1
BTSSXXTTVPSE,1
BPTTTTTVPXVVE,1
BTSSSXXTTTTTTTVPSE,1
BPTVPXVPXVPSE,1
BTSSSSSXXVPXVVE,1
BPVPXTTVPSE,1
BTSSXXTVPXVPXTTVPSE,1
BTXXTVPXTTVVE,1
BTXXTTTVPXVVE,1
BTXXVPXVPXTVPSE,1
BTSSSXXTVVE,1
BPVPXTTTTTTVVE,1
BTXXVPXTTVPSE,1
BTSXXVPXTTTVPXVPSE,1
BTSSSXXTTTVPSE,1
BTSSSSXXVPXVVE,1
BTSSXXVPXVPXTTVVE,1
BTSSXXTTTVPXTTTTTVPXTTVPSE,1
BPTVPXTTTVVE,1
BPVPXVPXTVPSE,1
BTSSSSSXXVVE,1
BPTTVPXTVVE,1
BPVPXVPXVVE,1
BTSXXVPXTTVVE,1
BPVPXTTTVVE,1
BTXXTVPXVPXVVE,1
BPTTTTTTTVVE,1
BPTTTVPXTVPSE,1
BPTTVPXVPXVVE,1
BTXXTTTTVVE,1
BTXXTTTTTTTTTVVE,1
BPTTVPXTVPSE,1
BPTTTVPXVPSE,1
BPTTTTTTVVE,1
BTXXVPXVPSE,1
BPTTVPXTVPXTVPSE,1
BTXXTTTTTVPSE,1
BTSSSSSXXVPSE,1
BTSSSSXXVVE,1
BPTTVPXTTTVPXVPSE,1
BTXXTTTVPXVPSE,1
BTSXXTTTTTVVE,1
BPTVPXTTTTVPSE,1
BTSSXXTTTVPSE,1
BTSSSSXXVPSE,1
BPVPXTTTVPSE,1
BTSXXTTTTTTVPSE,1
BPVPXTTTTVPXTVPXTTVPSE,1
BTXXTTTTTTVPSE,1
BPTTTTVPXTTTVVE,1
BPTVPXVPXTTTVVE,1
BTSXXTTVPSE,1
BTXXTTVPXTTTVVE,1
BPTTVPXVPSE,1
BTSXXTTTTTTTVPSE,1
BPTVPXTTVPXVVE,1
BTXXVPXTTVVE,1
BPVPXTVPXTVVE,1
BPTVPXTTVPXVPXVVE,1
BPTTVPXTVPXVPSE,1
BTSXXTTVPXTTVPXVPSE,1
BTSSSXXTTTVPXTTVVE,1
BPTVPXVPXTVPSE,1
BTXXTVPXVPSE,1
BTSSXXVPXVPXVVE,1
BTSXXTTTVVE,1
BTXXVPXTVPSE,1
BTSXXVPXVVE,1
BPTVPXTVPXVVE,1
BTXXTTVPXTVPXTTVPSE,1
BTSSSSSSXSE,1
BTSSSXXTVPSE,1
BTXXVPXTTTVVE,1
BTSXXVPXVPXVVE,1
BPVPXTTTTTTVPXVPXVVE,1
BTSSXXVPXTVPXVVE,1
BTSSSSXXTVPXTVVE,1
BPTTTVPXVVE,1
BTXXTTVPXVVE,1
BTXXTTTVPSE,1
BTXXTVPXVVE,1
BTSXXVPXTVPXTTVVE,1
BTSXXTVPXVPXVVE,1
BTSXXVPXTTTTVPXVPXVPSE,1
BPVPXTTVPXTTVPSE,1
BTSSXXTVPSE,1
BTXXVPXTTTTVPSE,1
BPVPXTTTVPXTTVVE,1
BTSSXXVPXVVE,1
BTSSSXXVPXTTTTVPXTTVPXTTTVVE,1
BPTTTTTTTTVVE,1
BTXXVPXTTVPXTTTTVPSE,1
BTSSXXTTTVVE,1
BTSXXVPXTTTVVE,1
BTSSSXXVPXVPSE,1
BTXXTTVPXTVVE,1
BTXXTTVPXTTVVE,1
BTXXTTTTTTTTVVE,1
BPTTVPXTTVPSE,1
BPTTTTVPXVVE,1
BTSSXXTVPXVPSE,1
BTSXXVPXTTVPSE,1
BPVPXTTTTVPSE,1
BPTVPXTVPXTVVE,1
BTSSXXTVPXVVE,1
BPVPXVPXTTTTTTTTVVE,1
